PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
J.J. Barea,831,16287,7415,2832,6685,42.4,819,2330,35.2,932,1174,79.4,253,1495,1748,3270,331,24,1264,48.5,51.5
Frank Brickowski,731,16279,7302,2873,5538,51.9,55,170,32.4,1501,2028,74,1007,2403,3410,1384,644,285,1372,52.4,56.8
Trenton Hassell,644,16279,3741,1549,3480,44.5,95,299,31.8,548,716,76.5,541,1285,1826,1132,282,272,597,45.9,49.3
Allen Leavell,700,16248,6684,2549,5666,45,141,603,23.4,1445,1733,83.4,294,870,1164,3339,929,120,1324,46.2,52
Quinn Buckner,719,16245,5929,2546,5527,46.1,7,38,18.4,830,1264,65.7,598,1371,1969,3114,1337,80,1382,46.1,48.7
Steve Kerr,910,16203,5437,2042,4263,47.9,726,1599,45.4,627,726,86.4,186,874,1060,1658,476,46,504,56.4,59.3
George McGinnis,528,16194,9090,3386,7566,44.8,2,25,8,2316,3559,65.1,1601,3576,5177,1985,923,236,1291,44.8,49.8
Rudy Gobert,545,16181,6565,2434,3772,64.5,0,7,0,1697,2695,63,1782,4369,6151,735,367,1220,889,64.5,66.2
Vladimir Radmanovic,737,16164,5879,2148,5177,41.5,971,2567,37.8,612,807,75.8,654,2130,2784,998,537,263,837,50.9,53.1
Ramon Sessions,691,16119,7141,2406,5539,43.4,208,658,31.6,2121,2681,79.1,339,1501,1840,2807,472,52,1173,45.3,53.1
Evan Fournier,565,16118,8097,2910,6471,45,1050,2768,37.9,1227,1524,80.5,234,1327,1561,1505,491,78,935,53.1,56.7
Ty Lawson,551,16088,6977,2496,5424,46,473,1319,35.9,1512,1964,77,351,1155,1506,3316,636,52,1159,50.4,55.5
Luc Mbah a Moute,689,16038,4380,1685,3708,45.4,207,619,33.4,803,1218,65.9,962,1838,2800,588,612,263,646,48.2,51.6
Howard Eisley,786,16016,5116,1881,4617,40.7,516,1474,35,838,1013,82.7,208,1116,1324,2748,540,83,1172,46.3,50.5
Reggie Williams,599,16012,7508,2992,6848,43.7,373,1253,29.8,1151,1468,78.4,785,1608,2393,1492,802,407,1051,46.4,50.1
Willie Anderson,555,15972,6771,2804,5952,47.1,99,372,26.6,1064,1353,78.6,550,1532,2082,2105,594,342,1163,47.9,51.7
Ruben Patterson,649,15955,6953,2678,5180,51.7,35,196,17.9,1562,2436,64.1,1280,1417,2697,1150,751,249,1166,52,55.6
Shandon Anderson,719,15944,5327,1996,4366,45.7,307,972,31.6,1028,1392,73.9,583,1669,2252,1007,556,180,958,49.2,53.5
Jim Brewer,703,15936,4099,1785,3983,44.8,1,13,7.7,528,925,57.1,1660,2798,4458,1038,556,510,332,44.8,46.7
Jeff McInnis,576,15932,5396,2189,5081,43.1,305,929,32.8,713,896,79.6,243,927,1170,2514,371,31,789,46.1,49.3
Jonas Valanciunas,621,15901,8005,3193,5639,56.6,98,274,35.8,1521,1950,78,1727,4001,5728,634,249,642,962,57.5,61.6
Nazr Mohammed,1005,15891,5827,2402,4939,48.6,0,8,0,1023,1599,64,1808,2900,4708,375,432,639,919,48.6,51.6
Mike Riordan,639,15890,6334,2773,5894,47,-,-,-,788,1059,74.4,261,617,1830,1524,231,35,-,47,49.8
Phil Hubbard,665,15863,7228,2672,5394,49.5,1,26,3.8,1883,2667,70.6,1502,2036,3538,857,574,89,1310,49.5,55
Jack George,506,15860,5153,1901,5226,36.4,-,-,-,1351,1918,70.4,-,-,2129,2169,-,-,-,36.4,42.4
Greg Anthony,757,15846,5497,1914,4750,40.3,610,1748,34.9,1059,1445,73.3,271,1146,1417,2997,887,79,1043,46.7,51
Steve Hawes,688,15831,5768,2337,4836,48.3,14,47,29.8,1080,1367,79,1232,3040,4272,1288,518,314,821,48.5,53
Yao Ming,486,15819,9247,3380,6445,52.4,2,10,20,2485,2984,83.3,1233,3261,4494,769,189,920,1311,52.5,59.6
Steven Adams,588,15813,5629,2346,3972,59.1,1,13,7.7,936,1708,54.8,2036,2507,4543,726,523,569,835,59.1,59.6
Harry Gallatin,682,15813,8843,2810,7057,39.8,-,-,-,3223,4167,77.3,-,-,6684,1208,-,-,-,39.8,49.7
Andrea Bargnani,550,15806,7873,2932,6676,43.9,627,1771,35.4,1382,1677,82.4,530,2011,2541,653,207,470,851,48.6,53.1
George Yardley,472,15767,9063,3193,7572,42.2,-,-,-,2677,3434,78,-,-,4220,815,-,-,-,42.2,49.9
Ben Poquette,718,15763,4899,1975,4092,48.3,13,59,22,936,1202,77.9,1061,2670,3731,872,384,794,686,48.4,53
Jeff Foster,764,15740,3747,1472,2961,49.7,7,54,13,796,1295,61.5,2101,3147,5248,703,507,308,613,49.8,53.1
Eric Williams,658,15729,5642,1865,4490,41.5,219,688,31.8,1693,2301,73.6,704,1435,2139,936,548,103,789,44,51.3
Kent Benson,680,15719,6168,2578,5224,49.3,7,34,20.6,1005,1327,75.7,1216,2665,3881,1203,605,586,1069,49.4,53.1
Lucious Harris,800,15704,5784,2194,5151,42.6,402,1155,34.8,994,1258,79,554,1310,1864,1130,556,86,594,46.5,50.7
Ed Pinckney,793,15695,5378,1915,3577,53.5,0,18,0,1548,2024,76.5,1487,2465,3952,727,612,435,845,53.5,60.2
Enes Kanter,713,15689,8221,3375,6157,54.8,44,154,28.6,1427,1840,77.6,2162,3500,5662,630,291,349,1056,55.2,59
Eddie Miles,605,15681,8120,3301,7505,44,-,-,-,1518,2032,74.7,-,-,1860,1225,-,-,-,44,48.3
Trent Tucker,756,15671,6236,2594,5632,46.1,575,1410,40.8,473,627,75.4,512,1008,1520,1532,679,88,593,51.2,52.8
Reggie Jackson,628,15664,7920,2943,6852,43,781,2237,34.9,1253,1465,85.5,328,1523,1851,2661,431,73,1152,48.7,52.8
Mahmoud Abdul-Rauf,586,15628,8553,3514,7943,44.2,474,1339,35.4,1051,1161,90.5,219,868,1087,2079,487,46,963,47.2,50.6
Bob Sura,657,15603,5654,1918,4628,41.4,423,1303,32.5,1395,2024,68.9,586,1654,2240,2474,641,142,1231,46,51.2
Reggie Evans,809,15572,3289,1107,2379,46.5,1,11,9.1,1074,2036,52.8,1984,3781,5765,458,566,115,897,46.6,50.2
Jay Vincent,576,15556,8729,3490,7367,47.4,4,27,14.8,1745,2226,78.4,979,2188,3167,1124,413,171,1099,47.4,52.3
Anthony Johnson,793,15553,4432,1709,4131,41.4,332,933,35.6,682,916,74.5,293,1065,1358,2274,551,92,866,45.4,48.9
Roy Hinson,507,15543,7206,2776,5568,49.9,0,12,0,1654,2232,74.1,1056,2396,3452,495,306,882,1009,49.9,55
Spencer Hawes,684,15541,5932,2451,5363,45.7,359,1026,35,671,937,71.6,991,2902,3893,1271,264,652,971,49,51.4
Bill Hanzlik,748,15534,5414,1836,4232,43.4,46,216,21.3,1696,2171,78.1,691,1367,2058,2058,727,205,1090,43.9,52.2
Chris Duhon,606,15527,3946,1353,3440,39.3,649,1788,36.3,591,754,78.4,200,1164,1364,2690,471,36,925,48.8,52.3
Larry Kenon,503,15517,8535,3564,7293,48.9,1,10,10,1406,1763,79.8,1362,2580,3942,1287,675,155,1101,48.9,52.9
Henry Bibby,675,15475,5775,2149,5073,42.4,43,147,29.3,1434,1834,78.2,463,1036,1581,2259,561,34,573,42.8,49.1
Connie Dierking,706,15474,7094,2867,6880,41.7,-,-,-,1360,1951,69.7,-,-,4757,1053,-,-,-,41.7,45.8
Bojan Bogdanovic,534,15389,7795,2711,5933,45.7,1052,2676,39.3,1321,1533,86.2,265,1623,1888,825,300,41,851,54.6,59
Andy Phillip,701,15378,6384,2323,6318,36.8,-,-,-,1738,2499,69.5,-,-,2395,3759,-,-,-,36.8,43
J.R. Reid,672,15370,5680,2168,4594,47.2,5,37,13.5,1339,1869,71.6,1004,2377,3381,639,514,264,947,47.2,52.4
Josh Howard,507,15350,7270,2759,6161,44.8,342,1029,33.2,1410,1830,77,846,2040,2886,817,530,276,723,47.6,52.2
Andrew Lang,737,15348,4431,1780,3785,47,5,20,25,866,1164,74.4,1188,2323,3511,424,332,1099,697,47.1,51.6
Voshon Lenard,565,15345,6745,2444,5892,41.5,936,2437,38.4,921,1171,78.7,347,1262,1609,1180,424,131,748,49.4,52.6
Kevin Edwards,604,15330,6596,2650,6259,42.3,176,525,33.5,1120,1395,80.3,516,1137,1653,1609,825,197,1138,43.7,48
Frank Ramsey,623,15330,8378,2949,7382,39.9,-,-,-,2480,3083,80.4,-,-,3410,1134,-,-,-,39.9,47.9
Wayne Ellington,727,15290,5903,2135,5204,41,1132,2964,38.2,501,594,84.3,228,1338,1566,822,389,61,489,51.9,54
Stu Lantz,547,15267,6782,2469,5674,43.5,-,-,-,1844,2266,81.4,150,256,1820,1566,121,18,-,43.5,50.8
Kevin Grevey,672,15246,7364,2915,6670,43.7,145,434,33.4,1389,1701,81.7,590,1004,1594,1247,392,112,748,44.8,49.6
Isaiah Thomas,528,15230,9531,3100,7123,43.5,1014,2793,36.3,2317,2656,87.2,279,1012,1291,2604,465,56,1227,50.6,57.5
Ray Felix,637,15188,6974,2406,5841,41.2,-,-,-,2162,3187,67.8,-,-,5652,448,-,-,-,41.2,48.1
Tony Campbell,690,15180,7994,3180,6981,45.6,67,264,25.4,1567,1984,79,912,1205,2117,1019,582,157,1083,46,50.9
Terrence Ross,607,15178,6896,2520,6013,41.9,1157,3151,36.7,699,837,83.5,214,1532,1746,725,524,209,582,51.5,54
Travis Best,708,15160,5376,2002,4642,43.1,266,772,34.5,1106,1324,83.5,230,1019,1249,2444,661,60,928,46,51.4
Hubert Davis,685,15144,5583,2108,4600,45.8,728,1651,44.1,639,763,83.7,209,836,1045,1172,297,44,646,53.7,56.6
Bonzi Wells,591,15133,7147,2814,6111,46,223,683,32.7,1296,1860,69.7,800,1937,2737,1249,769,192,1215,47.9,51.6
Ron Anderson,664,15112,7056,2936,6239,47.1,105,366,28.7,1079,1325,81.4,856,1456,2312,952,470,90,730,47.9,51.7
Anderson Varejao,632,15089,4574,1808,3550,50.9,1,43,2.3,957,1518,63,1511,3020,4531,737,537,407,593,50.9,54.2
Craig Hodges,695,15077,5940,2363,5130,46.1,563,1408,40,651,786,82.8,306,631,937,1769,553,26,815,51.5,54.2
Foots Walker,658,15036,4199,1538,3537,43.5,10,44,22.7,1113,1460,76.2,459,1227,1686,3111,992,83,792,43.6,50.2
Herm Gilliam,578,15026,6252,2696,6120,44.1,-,-,-,860,1086,79.2,257,635,2175,2225,369,49,-,44.1,47.4
