PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
Ervin Johnson,845,16992,3473,1393,2756,50.5,2,10,20,685,1133,60.5,1677,3471,5148,387,471,1087,724,50.6,53.4
Loy Vaught,689,16989,6984,3061,6074,50.4,21,86,24.4,841,1172,71.8,1482,3399,4881,652,510,228,822,50.6,53
Cliff Levingston,830,16962,5888,2333,4524,51.6,5,33,15.2,1217,1800,67.6,1772,2535,4307,752,534,593,829,51.6,55.4
Kerry Kittles,507,16932,7165,2779,6337,43.9,694,1838,37.8,913,1171,78,513,1470,1983,1295,811,221,621,49.3,52.3
O.J. Mayo,547,16919,7574,2808,6547,42.9,854,2287,37.3,1104,1346,82,285,1421,1706,1607,559,141,1130,49.4,53
Otto Moore,682,16893,5616,2336,5152,45.3,-,-,-,944,1550,60.9,504,1539,5575,1060,186,342,-,45.3,48.1
Dee Brown,608,16844,6758,2540,5822,43.6,605,1697,35.7,1073,1300,82.5,319,1250,1569,2227,800,205,905,48.8,52.8
Brandon Jennings,555,16844,7801,2750,7099,38.7,914,2648,34.5,1387,1743,79.6,329,1330,1659,3151,679,98,1203,45.2,49.6
Bobby Jackson,755,16794,7344,2755,6601,41.7,689,1947,35.4,1145,1444,79.3,623,1724,2347,1945,704,68,1014,47,50.7
Scott Skiles,600,16789,6652,2290,5259,43.5,524,1381,37.9,1548,1741,88.9,275,1251,1526,3881,500,29,1497,48.5,55.2
Geoff Petrie,446,16787,9732,3970,8719,45.5,-,-,-,1792,2225,80.5,140,445,1271,2057,247,33,-,45.5,50.2
Campy Russell,566,16781,8953,3398,7397,45.9,34,93,36.6,2123,2750,77.2,893,1803,2696,1684,594,114,1025,46.2,52
Ryan Anderson,649,16769,8001,2755,6533,42.2,1325,3491,38,1166,1366,85.4,1247,2166,3413,586,332,217,606,52.3,56.1
Avery Bradley,598,16745,6885,2766,6366,43.4,777,2143,36.3,576,738,78,366,1361,1727,1058,602,119,830,49.6,51.5
Jae Crowder,668,16676,6424,2207,5264,41.9,1019,2945,34.6,991,1276,77.7,474,2313,2787,1058,641,224,585,51.6,55.1
Doug West,676,16654,6477,2631,5473,48.1,37,194,19.1,1178,1470,80.1,532,1138,1670,1292,459,189,823,48.4,52.9
Matt Guokas,735,16603,4285,1792,3665,48.9,-,-,-,701,964,72.7,77,246,1446,2174,117,41,-,48.9,52.4
